_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
6664879d338802e28dd40732,,71.39,95.31,73.59,70.74,357;3;0;0,time,60,-1,3,60,0,20.02,false,false,english,none,normal,false,false,false,655bfcbe0d82cb49500f9e5c;65bdf1df97665dc8e554f92e,1717864349000
66625ee1338802e28dc22073,,69,96.4,70,68.54,345;2;1;0,time,60,-1,1,60,1,5.74,false,false,english,none,normal,false,false,false,655bfcbe0d82cb49500f9e5c;65bdf1df97665dc8e554f92e,1717722849000
6661db24338802e28dbda712,,79.4,97.55,80.8,76.47,397;5;1;0,time,60,-1,0,60,1,0,false,false,english,none,normal,false,false,false,655bfcbe0d82cb49500f9e5c;6580a4f1b8703f3065290411,1717689124000
6660b05aca2df50192aa01e1,,71.8,95.47,76.8,70.14,359;3;2;0,time,60,-1,0,60,0,0,false,false,english,none,normal,false,false,false,655bfcbe0d82cb49500f9e5c;65bdf1df97665dc8e554f92e,1717612634000
6660b016ca2df50192a9feca,,77.79,98.48,77.79,75.46,389;0;0;0,time,60,-1,0,60.01,0,0,false,false,english,none,normal,false,false,false,655bfcbe0d82cb49500f9e5c;6580a4f1b8703f3065290411,1717612566000
665f7121ca2df501929e5288,,70.4,93.98,73,73.57,352;4;1;0,time,60,-1,0,60,0,0,false,false,english,none,normal,false,false,false,655bfcbe0d82cb49500f9e5c;6580a4f1b8703f3065290411,1717530912000
665f70c2ca2df501929e4f04,,71.79,92.86,78.39,72.7,359;11;3;0,time,60,-1,2,60.01,0,4.55,false,false,english,none,normal,false,false,false,655bfcbe0d82cb49500f9e5c;6580a4f1b8703f3065290411,1717530818000
665e1dbcca2df5019291a853,,76,97.95,76.4,72.27,380;1;0;0,time,60,-1,0,60,0,0,false,false,english,none,normal,false,false,false,655bfcbe0d82cb49500f9e5c;6580a4f1b8703f3065290411,1717444028000
665e1d5aca2df5019291a469,,86.39,98.63,86.39,74.95,216;0;0;0,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,655bfcbe0d82cb49500f9e5c,1717443930000
665e1bebca2df50192919536,,75.99,96.02,78.79,76.51,190;3;1;0,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,655bfcbe0d82cb49500f9e5c;6580a4f1b8703f3065290411,1717443563000
665beb383f4cde2f9d0c9d49,,63.99,93.62,73.59,72.38,160;5;0;0,time,30,-1,1,30.01,0,2.61,false,false,english,none,normal,false,false,false,655bfcbe0d82cb49500f9e5c;6580a4f1b8703f3065290411,1717300024000
665beb113f4cde2f9d0c9c60,,75.2,95.02,76.8,73.82,188;1;0;0,time,30,-1,1,30,0,5.11,false,false,english,none,normal,false,false,false,655bfcbe0d82cb49500f9e5c;6580a4f1b8703f3065290411,1717299985000
665beae23f4cde2f9d0c9b44,,81.4,97.62,83.4,76.08,407;4;1;0,time,60,-1,0,60,0,0,false,false,english,none,normal,false,false,false,655bfcbe0d82cb49500f9e5c;6580a4f1b8703f3065290411,1717299938000
665a09ea3f4cde2f9dff3371,,68.2,94.2,69.2,71.62,341;4;0;1,time,60,-1,0,60,0,0,false,false,english,none,normal,false,false,false,655bfcbe0d82cb49500f9e5c;6580a4f1b8703f3065290411,1717176810000
665a09a03f4cde2f9dff301b,,68.1,97.6,68.1,64.65,200;0;0;0,quote,280,1,0,35.24,0,0,false,false,english,none,normal,false,false,false,655bfcbe0d82cb49500f9e5c;6580a4f1b8703f3065290411,1717176736000
6657d9fa3f4cde2f9dea7efe,,67.4,95.29,68.4,70.98,337;0;0;1,time,60,-1,2,60,0,14.92,false,false,english,none,normal,false,false,false,655bfcbe0d82cb49500f9e5c;6580a4f1b8703f3065290411,1717033466000
6657d99e3f4cde2f9dea7c4d,,76.4,98.46,76.4,77.04,382;0;0;0,time,60,-1,1,60,0,1.16,false,false,english,none,normal,false,false,false,655bfcbe0d82cb49500f9e5c;6580a4f1b8703f3065290411,1717033374000
6657d9563f4cde2f9dea7a37,,76.39,97.46,76.39,75.23,191;0;0;0,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,655bfcbe0d82cb49500f9e5c;6580a4f1b8703f3065290411,1717033302000
6657d9313f4cde2f9dea78fe,,74.4,96.88,74.4,72.76,93;0;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,655bfcbe0d82cb49500f9e5c;6580a4f1b8703f3065290411,1717033265000
6657d91d3f4cde2f9dea7861,,56.79,90.12,59.19,61.29,71;1;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,655bfcbe0d82cb49500f9e5c;6580a4f1b8703f3065290411,1717033245000
6654fa6974e223122103a321,,74.4,97.94,74.4,71.28,93;0;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,655bfcbe0d82cb49500f9e5c;65bdf1df97665dc8e554f92e,1716845161000
6654fa5774e223122103a2aa,,66.38,93.94,79.17,74.17,83;2;1;0,time,15,-1,2,15.01,0,8.76,false,false,english,none,normal,false,false,false,655bfcbe0d82cb49500f9e5c;65bdf1df97665dc8e554f92e,1716845143000
6654fa3674e223122103a1cf,,77.59,95.15,82.39,76.3,97;3;1;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,655bfcbe0d82cb49500f9e5c;65bdf1df97665dc8e554f92e,1716845110000
6654c11274e223122101b81a,,26.4,94.29,26.4,66.2,33;0;0;0,time,15,-1,1,15,0,4.16,false,false,english,none,normal,false,false,false,65cd12dd05280cc36ba88adc,1716830482000
6654c0f374e223122101b6ef,,28,97.22,28,63.37,35;0;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,65cd12dd05280cc36ba88adc,1716830451000
6654c0d674e223122101b5da,,26.4,97.06,26.4,59.06,33;0;0;0,time,15,-1,0,15,1,0,false,false,english,none,normal,false,false,false,65cd12dd05280cc36ba88adc,1716830422000
6654c0c174e223122101b4f3,,22.4,100,22.4,56.88,28;0;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,65cd12dd05280cc36ba88adc,1716830401000
6654c0aa74e223122101b422,,20.8,92.86,20.8,56.88,26;0;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,65cd12dd05280cc36ba88adc,1716830378000
